time_stamp	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	px	py	v	yaw	yaw_rate	sensor_type	NIS
1477010443000000	0.6	0.6	5.19994	0	0.312243	0.58034	0	0	0	L	0
1477010443050000	0.859997	0.600045	5.19975	0.00179686	0.735492	0.629623	7.20011	-2.76152e-17	1.15826e-17	R	74.7624
1477010443100000	1.11998	0.600225	5.19943	0.00538996	1.1605	0.494953	7.20317	-0.12722	-0.0118583	L	0.221167
1477010443150000	1.37996	0.600629	5.19898	0.0107781	1.25808	0.533061	7.18852	0.1229	0.0306705	R	1.82476
1477010443200000	1.6399	0.601347	5.19839	0.0179597	1.61575	0.595371	7.2019	0.161647	0.0462409	L	0.16769
1477010443250000	1.89982	0.60247	5.19766	0.0269323	1.85109	0.561738	6.01644	0.0248479	-0.235978	R	7.7654
1477010443300000	2.1597	0.604086	5.19678	0.0376932	2.16317	0.59103	6.01595	0.0395723	-0.179889	L	0.254893
1477010443350000	2.41954	0.606284	5.19573	0.0502389	2.37915	0.636716	5.61982	0.0542059	-0.354022	R	6.4158
1477010443400000	2.67932	0.609155	5.1945	0.0645654	2.65691	0.653547	5.61687	0.0427388	-0.330629	L	0.00959396
1477010443450000	2.93904	0.612786	5.19309	0.080668	2.92341	0.646887	5.55314	-0.00604854	-0.488881	R	0.468212
1477010443500000	3.19869	0.617267	5.19147	0.0985415	3.1598	0.642078	5.50949	-0.0196012	-0.452021	L	1.22092
1477010443550000	3.45825	0.622685	5.18963	0.11818	3.44512	0.538065	5.54011	-0.167695	-0.863728	R	1.24784
1477010443600000	3.71772	0.62913	5.18754	0.139576	3.74813	0.426057	5.6022	-0.285143	-1.07895	L	2.04206
1477010443650000	3.97708	0.636689	5.18519	0.162724	4.02937	0.509675	5.56224	-0.149501	-0.558851	R	4.1915
1477010443700000	4.23632	0.645449	5.18256	0.187614	4.30356	0.501251	5.54607	-0.142653	-0.475111	L	0.394136
1477010443750000	4.49542	0.655498	5.17962	0.214238	4.56535	0.534708	5.4805	-0.105359	-0.345806	R	2.23536
1477010443800000	4.75437	0.666921	5.17634	0.242587	4.75788	0.638436	5.33756	-0.0075294	-0.107393	L	13.3448
1477010443850000	5.01315	0.679804	5.1727	0.272649	5.01157	0.63521	5.29067	-0.0178615	-0.12042	R	2.34844
1477010443900000	5.27175	0.694234	5.16867	0.304413	5.3127	0.634652	5.33132	-0.0210537	-0.114691	L	2.24701
1477010443950000	5.53013	0.710295	5.16422	0.337868	5.57008	0.643093	5.32923	-0.0140736	-0.0909901	R	1.65136
1477010444000000	5.78828	0.728072	5.15932	0.372999	5.86301	0.661486	5.35474	-0.00347895	-0.0654927	L	1.46348
1477010444050000	6.04618	0.747647	5.15393	0.409793	6.10805	0.586195	5.31982	-0.058376	-0.151068	R	4.01535
1477010444100000	6.30379	0.769103	5.14803	0.448233	6.36584	0.701274	5.29504	0.0177468	-0.0217644	L	4.20338
1477010444150000	6.5611	0.792523	5.14157	0.488305	6.61872	0.731455	5.26852	0.0312153	-0.00113637	R	1.01644
1477010444200000	6.81808	0.817988	5.13452	0.52999	6.86757	0.731788	5.25507	0.0268064	-0.00729073	L	0.397043
1477010444250000	7.07469	0.845578	5.12685	0.573269	7.11609	0.71312	5.21798	0.00947531	-0.0334952	R	4.02717
1477010444300000	7.3309	0.875373	5.11851	0.618123	7.34094	0.799189	5.17844	0.0550395	0.0313955	L	3.86212
1477010444350000	7.58668	0.907449	5.10946	0.664531	7.62654	0.811081	5.21707	0.0554996	0.0304662	R	3.3322
1477010444400000	7.84199	0.941886	5.09966	0.712469	7.87673	0.791305	5.20829	0.0390158	0.00686598	L	0.599405
1477010444450000	8.0968	0.978759	5.08907	0.761915	8.13113	0.807587	5.18636	0.0411392	0.00741011	R	2.96081
1477010444500000	8.35106	1.01814	5.07766	0.812843	8.37062	0.827252	5.16822	0.0465481	0.0141108	L	0.785899
1477010444550000	8.60472	1.06011	5.06537	0.865226	8.63272	0.915148	5.18797	0.0867671	0.0663398	R	6.51951
1477010444600000	8.85775	1.10473	5.05216	0.919037	8.87019	0.976109	5.16962	0.109635	0.0914829	L	1.15291
1477010444650000	9.1101	1.15208	5.03798	0.974245	9.15385	1.01456	5.19721	0.118119	0.0960242	R	6.32345
1477010444700000	9.36172	1.20223	5.0228	1.03082	9.39122	1.04949	5.17898	0.125493	0.0996508	L	0.936563
1477010444750000	9.61255	1.25524	5.00656	1.08873	9.66472	1.12154	5.2012	0.148823	0.122525	R	4.37448
1477010444800000	9.86254	1.31118	4.98922	1.14794	9.93181	1.2512	5.21705	0.198222	0.176955	L	3.12674
1477010444850000	10.1117	1.37011	4.97074	1.20841	10.1846	1.34306	5.20576	0.227624	0.205004	R	4.63739
1477010444900000	10.3598	1.4321	4.95106	1.2701	10.4119	1.42626	5.18583	0.25067	0.221957	L	1.44269
1477010444950000	10.6069	1.49721	4.93014	1.33298	10.6514	1.51777	5.16128	0.278204	0.247578	R	4.56943
1477010445000000	10.853	1.56549	4.90794	1.39701	10.8818	1.55086	5.14044	0.273396	0.22677	L	1.71964
1477010445050000	11.0979	1.637	4.8844	1.46213	11.1433	1.60365	5.15168	0.274517	0.212862	R	1.56715
1477010445100000	11.3416	1.71179	4.85948	1.52832	11.4179	1.64773	5.17008	0.269713	0.192415	L	1.56548
1477010445150000	11.584	1.78992	4.83313	1.59551	11.6538	1.7109	5.15034	0.278848	0.194349	R	1.28245
1477010445200000	11.8251	1.87144	4.80531	1.66366	11.8865	1.77586	5.13681	0.286806	0.192722	L	0.632562
1477010445250000	12.0647	1.95639	4.77598	1.73273	12.1364	1.86521	5.15031	0.301978	0.19759	R	1.06285
1477010445300000	12.3029	2.04482	4.74508	1.80265	12.3811	1.89324	5.13799	0.288697	0.16887	L	0.930109
1477010445350000	12.5394	2.13677	4.71257	1.87338	12.6327	1.95258	5.14672	0.287944	0.154975	R	0.919475
1477010445400000	12.7743	2.23227	4.67842	1.94485	12.8346	2.08929	5.12591	0.330347	0.199325	L	3.64935
1477010445450000	13.0075	2.33137	4.64258	2.01701	13.0912	2.19036	5.15512	0.342782	0.197	R	3.50768
1477010445500000	13.2388	2.43409	4.605	2.08981	13.2944	2.33337	5.13846	0.383318	0.236084	L	2.68175
1477010445550000	13.4682	2.54047	4.56565	2.16317	13.4836	2.49044	5.10243	0.434674	0.293792	R	11.0486
1477010445600000	13.6955	2.65053	4.52448	2.23703	13.7286	2.60071	5.11494	0.447688	0.291074	L	0.610034
1477010445650000	13.9208	2.7643	4.48147	2.31134	13.9492	2.71956	5.10688	0.46821	0.300864	R	0.293961
1477010445700000	14.1439	2.88179	4.43656	2.38601	14.1739	2.86808	5.11652	0.497645	0.318101	L	0.404179
1477010445750000	14.3646	3.00303	4.38974	2.46099	14.4182	2.97039	5.13468	0.494739	0.286777	R	1.57266
1477010445800000	14.583	3.12802	4.34097	2.5362	14.6301	3.04719	5.10655	0.49141	0.266864	L	2.5159
1477010445850000	14.7989	3.25679	4.29021	2.61157	14.8556	3.1927	5.12495	0.510527	0.267698	R	3.89858
1477010445900000	15.0122	3.38932	4.23744	2.68703	15.0574	3.38118	5.13479	0.554353	0.304422	L	1.11793
1477010445950000	15.2228	3.52563	4.18263	2.76249	15.2678	3.54648	5.13829	0.58571	0.327481	R	2.37832
1477010446000000	15.4306	3.66572	4.12575	2.83789	15.4763	3.72922	5.15289	0.619096	0.347255	L	0.710632
1477010446050000	15.6355	3.80957	4.06678	2.91315	15.6896	3.86257	5.14898	0.627501	0.335857	R	0.9549
1477010446100000	15.8375	3.95719	4.00571	2.98817	15.9097	4.00473	5.15359	0.636981	0.326643	L	0.246464
1477010446150000	16.0363	4.10854	3.94251	3.0629	16.1068	4.17322	5.14678	0.667194	0.352356	R	1.67901
1477010446200000	16.2319	4.26363	3.87716	3.13723	16.302	4.36407	5.15875	0.697624	0.366942	L	0.430407
1477010446250000	16.4242	4.42242	3.80966	3.21109	16.5115	4.52379	5.16583	0.70795	0.354585	R	0.702144
1477010446300000	16.613	4.5849	3.74	3.28438	16.6914	4.69613	5.15741	0.730586	0.361149	L	0.416715
1477010446350000	16.7983	4.75103	3.66817	3.35704	16.8455	4.90574	5.13969	0.78654	0.428168	R	4.77285
1477010446400000	16.9799	4.92077	3.59416	3.42897	17.0097	5.12469	5.15062	0.824534	0.44714	L	0.485089
1477010446450000	17.1579	5.09409	3.51797	3.50008	17.1793	5.30633	5.14028	0.848806	0.455951	R	1.87865
1477010446500000	17.3319	5.27094	3.4396	3.57028	17.3425	5.48886	5.13015	0.868883	0.453657	L	0.290588
1477010446550000	17.5019	5.45128	3.35907	3.63949	17.4971	5.67575	5.1143	0.896898	0.469753	R	3.61268
1477010446600000	17.6679	5.63506	3.27637	3.70762	17.6978	5.80416	5.09167	0.88444	0.429575	L	2.52295
1477010446650000	17.8297	5.82221	3.19151	3.77458	17.8356	6.01882	5.08434	0.927309	0.468969	R	1.48741
1477010446700000	17.9872	6.01269	3.10453	3.84027	18.0148	6.19927	5.08377	0.934225	0.449578	L	0.768483
1477010446750000	18.1402	6.20641	3.01542	3.90462	18.1591	6.41452	5.08724	0.962314	0.458023	R	0.540651
1477010446800000	18.2888	6.40332	2.92421	3.96753	18.2835	6.64007	5.08864	0.995519	0.469959	L	0.289576
